year,month,family,sales
2013,1,AUTOMOTIVE,6557.0
2013,1,BABY CARE,0.0
2013,1,BEAUTY,4019.0
2013,1,BEVERAGES,1670653.0
2013,1,BOOKS,0.0
2013,1,BREAD/BAKERY,549778.856175
2013,1,CELEBRATION,0.0
2013,1,CLEANING,1448851.0
2013,1,DAIRY,523737.0
2013,1,DELI,304217.242018
2013,1,EGGS,203442.0
2013,1,FROZEN FOODS,118057.1350672
2013,1,GROCERY I,4032240.0
2013,1,GROCERY II,27039.0
2013,1,HARDWARE,1612.0
2013,1,HOME AND KITCHEN I,0.0
2013,1,HOME AND KITCHEN II,0.0
2013,1,HOME APPLIANCES,210.0
2013,1,HOME CARE,0.0
2013,1,LADIESWEAR,0.0
2013,1,LAWN AND GARDEN,3808.0
2013,1,LINGERIE,18266.0
2013,1,"LIQUOR,WINE,BEER",88568.0
2013,1,MAGAZINES,0.0
2013,1,MEATS,533154.783758
2013,1,PERSONAL CARE,317716.0
2013,1,PET SUPPLIES,0.0
2013,1,PLAYERS AND ELECTRONICS,0.0
2013,1,POULTRY,304256.8359325
2013,1,PREPARED FOODS,136488.049961
2013,1,PRODUCE,0.0
2013,1,SCHOOL AND OFFICE SUPPLIES,0.0
2013,1,SEAFOOD,34953.8339978
2013,2,AUTOMOTIVE,7220.0
2013,2,BABY CARE,0.0
2013,2,BEAUTY,3747.0
2013,2,BEVERAGES,1508254.0
2013,2,BOOKS,0.0
2013,2,BREAD/BAKERY,499809.40377
2013,2,CELEBRATION,0.0
2013,2,CLEANING,1302978.0
2013,2,DAIRY,499873.0
2013,2,DELI,283769.43102
2013,2,EGGS,190424.0
2013,2,FROZEN FOODS,98706.2020041
2013,2,GROCERY I,3919400.0
2013,2,GROCERY II,25304.0
2013,2,HARDWARE,1414.0
2013,2,HOME AND KITCHEN I,0.0
2013,2,HOME AND KITCHEN II,0.0
2013,2,HOME APPLIANCES,119.0
2013,2,HOME CARE,0.0
2013,2,LADIESWEAR,0.0
2013,2,LAWN AND GARDEN,3625.0
2013,2,LINGERIE,15453.0
2013,2,"LIQUOR,WINE,BEER",99682.0
2013,2,MAGAZINES,0.0
2013,2,MEATS,480354.959696
2013,2,PERSONAL CARE,274064.0
2013,2,PET SUPPLIES,0.0
2013,2,PLAYERS AND ELECTRONICS,0.0
2013,2,POULTRY,284366.357897
2013,2,PREPARED FOODS,127108.537064
2013,2,PRODUCE,0.0
2013,2,SCHOOL AND OFFICE SUPPLIES,0.0
2013,2,SEAFOOD,33287.8859857
2013,3,AUTOMOTIVE,7635.0
2013,3,BABY CARE,0.0
2013,3,BEAUTY,3901.0
2013,3,BEVERAGES,1822220.0
2013,3,BOOKS,0.0
2013,3,BREAD/BAKERY,594024.80169
2013,3,CELEBRATION,0.0
2013,3,CLEANING,1505390.0
2013,3,DAIRY,612508.0
2013,3,DELI,327257.452028
2013,3,EGGS,225027.0
2013,3,FROZEN FOODS,135552.357953
2013,3,GROCERY I,4679847.0
2013,3,GROCERY II,29500.0
2013,3,HARDWARE,1582.0
2013,3,HOME AND KITCHEN I,0.0
2013,3,HOME AND KITCHEN II,0.0
2013,3,HOME APPLIANCES,1137.0
2013,3,HOME CARE,0.0
2013,3,LADIESWEAR,0.0
2013,3,LAWN AND GARDEN,4413.0
2013,3,LINGERIE,13302.0
2013,3,"LIQUOR,WINE,BEER",106233.0
2013,3,MAGAZINES,0.0
2013,3,MEATS,525533.343087
2013,3,PERSONAL CARE,319254.0
2013,3,PET SUPPLIES,0.0
2013,3,PLAYERS AND ELECTRONICS,0.0
2013,3,POULTRY,318799.460727
2013,3,PREPARED FOODS,151266.292022
2013,3,PRODUCE,4037.0
2013,3,SCHOOL AND OFFICE SUPPLIES,0.0
2013,3,SEAFOOD,40077.3299805
2013,4,AUTOMOTIVE,7485.0
2013,4,BABY CARE,0.0
2013,4,BEAUTY,3670.0
2013,4,BEVERAGES,1743121.0
2013,4,BOOKS,0.0
2013,4,BREAD/BAKERY,568623.2191
2013,4,CELEBRATION,0.0
2013,4,CLEANING,1421226.0
2013,4,DAIRY,559590.0
2013,4,DELI,316163.708962
2013,4,EGGS,208200.0
2013,4,FROZEN FOODS,145692.047052
2013,4,GROCERY I,4554014.0
2013,4,GROCERY II,29395.0
2013,4,HARDWARE,1423.0
2013,4,HOME AND KITCHEN I,0.0
2013,4,HOME AND KITCHEN II,0.0
2013,4,HOME APPLIANCES,1067.0
2013,4,HOME CARE,0.0
2013,4,LADIESWEAR,0.0
2013,4,LAWN AND GARDEN,4029.0
2013,4,LINGERIE,12736.0
2013,4,"LIQUOR,WINE,BEER",92334.0
2013,4,MAGAZINES,0.0
2013,4,MEATS,521173.160301
2013,4,PERSONAL CARE,326543.0
2013,4,PET SUPPLIES,0.0
2013,4,PLAYERS AND ELECTRONICS,0.0
2013,4,POULTRY,305240.522839
2013,4,PREPARED FOODS,131131.67577
2013,4,PRODUCE,6308.0
2013,4,SCHOOL AND OFFICE SUPPLIES,0.0
2013,4,SEAFOOD,34299.4039878
2013,5,AUTOMOTIVE,9034.0
2013,5,BABY CARE,0.0
2013,5,BEAUTY,3716.0
2013,5,BEVERAGES,1824123.0
2013,5,BOOKS,0.0
2013,5,BREAD/BAKERY,616045.653359
2013,5,CELEBRATION,0.0
2013,5,CLEANING,1486295.0
2013,5,DAIRY,595657.0
2013,5,DELI,347293.365026
2013,5,EGGS,229575.0
2013,5,FROZEN FOODS,150769.849963
2013,5,GROCERY I,4806099.0
2013,5,GROCERY II,32690.0
2013,5,HARDWARE,1431.0
2013,5,HOME AND KITCHEN I,0.0
2013,5,HOME AND KITCHEN II,0.0
2013,5,HOME APPLIANCES,1046.0
2013,5,HOME CARE,0.0
2013,5,LADIESWEAR,0.0
2013,5,LAWN AND GARDEN,4514.0
2013,5,LINGERIE,13833.0
2013,5,"LIQUOR,WINE,BEER",108818.0
2013,5,MAGAZINES,0.0
2013,5,MEATS,547487.049146
2013,5,PERSONAL CARE,308987.0
2013,5,PET SUPPLIES,0.0
2013,5,PLAYERS AND ELECTRONICS,0.0
2013,5,POULTRY,321628.685602
2013,5,PREPARED FOODS,142367.145905
2013,5,PRODUCE,8836.0
2013,5,SCHOOL AND OFFICE SUPPLIES,0.0
2013,5,SEAFOOD,37458.2580258
2013,6,AUTOMOTIVE,8311.0
2013,6,BABY CARE,0.0
2013,6,BEAUTY,3842.0
2013,6,BEVERAGES,1829106.0
2013,6,BOOKS,0.0
2013,6,BREAD/BAKERY,607785.69002
2013,6,CELEBRATION,0.0
2013,6,CLEANING,1483938.0
2013,6,DAIRY,590898.0
2013,6,DELI,335910.17701
2013,6,EGGS,220594.0
2013,6,FROZEN FOODS,170314.649025
2013,6,GROCERY I,4919672.0
2013,6,GROCERY II,30786.0
2013,6,HARDWARE,1339.0
2013,6,HOME AND KITCHEN I,0.0
2013,6,HOME AND KITCHEN II,0.0
2013,6,HOME APPLIANCES,999.0
2013,6,HOME CARE,0.0
2013,6,LADIESWEAR,0.0
2013,6,LAWN AND GARDEN,4533.0
2013,6,LINGERIE,12484.0
2013,6,"LIQUOR,WINE,BEER",106692.0
2013,6,MAGAZINES,0.0
2013,6,MEATS,549834.749027
2013,6,PERSONAL CARE,304725.0
2013,6,PET SUPPLIES,0.0
2013,6,PLAYERS AND ELECTRONICS,0.0
2013,6,POULTRY,327351.3931176
2013,6,PREPARED FOODS,142008.431049
2013,6,PRODUCE,8631.0
2013,6,SCHOOL AND OFFICE SUPPLIES,0.0
2013,6,SEAFOOD,29588.972995
2013,7,AUTOMOTIVE,8508.0
2013,7,BABY CARE,0.0
2013,7,BEAUTY,4780.0
2013,7,BEVERAGES,1664465.0
2013,7,BOOKS,0.0
2013,7,BREAD/BAKERY,568490.334004
2013,7,CELEBRATION,0.0
2013,7,CLEANING,1420483.0
2013,7,DAIRY,576927.0
2013,7,DELI,298614.00193
2013,7,EGGS,209272.0
2013,7,FROZEN FOODS,163838.4289985
2013,7,GROCERY I,4861947.0
2013,7,GROCERY II,30109.0
2013,7,HARDWARE,1164.0
2013,7,HOME AND KITCHEN I,0.0
2013,7,HOME AND KITCHEN II,0.0
2013,7,HOME APPLIANCES,846.0
2013,7,HOME CARE,0.0
2013,7,LADIESWEAR,0.0
2013,7,LAWN AND GARDEN,3980.0
2013,7,LINGERIE,12477.0
2013,7,"LIQUOR,WINE,BEER",98754.0
2013,7,MAGAZINES,0.0
2013,7,MEATS,536148.232708
2013,7,PERSONAL CARE,303655.0
2013,7,PET SUPPLIES,0.0
2013,7,PLAYERS AND ELECTRONICS,0.0
2013,7,POULTRY,313583.927932
2013,7,PREPARED FOODS,141222.711093
2013,7,PRODUCE,7463.0
2013,7,SCHOOL AND OFFICE SUPPLIES,0.0
2013,7,SEAFOOD,30672.9710153
2013,8,AUTOMOTIVE,8164.0
2013,8,BABY CARE,0.0
2013,8,BEAUTY,4720.0
2013,8,BEVERAGES,1810927.0
2013,8,BOOKS,0.0
2013,8,BREAD/BAKERY,574358.36818
2013,8,CELEBRATION,0.0
2013,8,CLEANING,1462219.0
2013,8,DAIRY,572921.0
2013,8,DELI,325416.424971
2013,8,EGGS,216552.0
2013,8,FROZEN FOODS,163100.411023
2013,8,GROCERY I,5077610.0
2013,8,GROCERY II,31022.0
2013,8,HARDWARE,1554.0
2013,8,HOME AND KITCHEN I,0.0
2013,8,HOME AND KITCHEN II,0.0
2013,8,HOME APPLIANCES,880.0
2013,8,HOME CARE,0.0
2013,8,LADIESWEAR,0.0
2013,8,LAWN AND GARDEN,4264.0
2013,8,LINGERIE,13676.0
2013,8,"LIQUOR,WINE,BEER",110217.0
2013,8,MAGAZINES,0.0
2013,8,MEATS,543110.259599
2013,8,PERSONAL CARE,310536.0
2013,8,PET SUPPLIES,0.0
2013,8,PLAYERS AND ELECTRONICS,0.0
2013,8,POULTRY,326411.2138817
2013,8,PREPARED FOODS,142408.42181
2013,8,PRODUCE,8118.0
2013,8,SCHOOL AND OFFICE SUPPLIES,0.0
2013,8,SEAFOOD,29603.820008
2013,9,AUTOMOTIVE,7029.0
2013,9,BABY CARE,0.0
2013,9,BEAUTY,3607.0
2013,9,BEVERAGES,1908153.0
2013,9,BOOKS,0.0
2013,9,BREAD/BAKERY,615401.429876
2013,9,CELEBRATION,0.0
2013,9,CLEANING,1435825.0
2013,9,DAIRY,580773.0
2013,9,DELI,347099.01406
2013,9,EGGS,236446.0
2013,9,FROZEN FOODS,161142.041982
2013,9,GROCERY I,4979594.0
2013,9,GROCERY II,30629.0
2013,9,HARDWARE,1565.0
2013,9,HOME AND KITCHEN I,0.0
2013,9,HOME AND KITCHEN II,0.0
2013,9,HOME APPLIANCES,909.0
2013,9,HOME CARE,0.0
2013,9,LADIESWEAR,0.0
2013,9,LAWN AND GARDEN,4310.0
2013,9,LINGERIE,13137.0
2013,9,"LIQUOR,WINE,BEER",100412.0
2013,9,MAGAZINES,0.0
2013,9,MEATS,548558.753157
2013,9,PERSONAL CARE,309791.0
2013,9,PET SUPPLIES,0.0
2013,9,PLAYERS AND ELECTRONICS,0.0
2013,9,POULTRY,332689.069863
2013,9,PREPARED FOODS,136714.758933
2013,9,PRODUCE,6821.0
2013,9,SCHOOL AND OFFICE SUPPLIES,0.0
2013,9,SEAFOOD,32327.1639969
2013,10,AUTOMOTIVE,6803.0
2013,10,BABY CARE,0.0
2013,10,BEAUTY,3753.0
2013,10,BEVERAGES,1855355.0
2013,10,BOOKS,0.0
2013,10,BREAD/BAKERY,610595.11039
2013,10,CELEBRATION,0.0
2013,10,CLEANING,1414118.0
2013,10,DAIRY,584096.0
2013,10,DELI,346264.989962
2013,10,EGGS,236916.0
2013,10,FROZEN FOODS,161381.108939
2013,10,GROCERY I,5030378.0
2013,10,GROCERY II,30423.0
2013,10,HARDWARE,1424.0
2013,10,HOME AND KITCHEN I,0.0
2013,10,HOME AND KITCHEN II,0.0
2013,10,HOME APPLIANCES,792.0
2013,10,HOME CARE,0.0
2013,10,LADIESWEAR,0.0
2013,10,LAWN AND GARDEN,4406.0
2013,10,LINGERIE,12254.0
2013,10,"LIQUOR,WINE,BEER",111366.0
2013,10,MAGAZINES,0.0
2013,10,MEATS,572478.35895
2013,10,PERSONAL CARE,289730.0
2013,10,PET SUPPLIES,0.0
2013,10,PLAYERS AND ELECTRONICS,0.0
2013,10,POULTRY,336496.272221
2013,10,PREPARED FOODS,133955.487036
2013,10,PRODUCE,5910.0
2013,10,SCHOOL AND OFFICE SUPPLIES,0.0
2013,10,SEAFOOD,26725.0330211
2013,11,AUTOMOTIVE,7166.0
2013,11,BABY CARE,0.0
2013,11,BEAUTY,3446.0
2013,11,BEVERAGES,1895439.0
2013,11,BOOKS,0.0
2013,11,BREAD/BAKERY,585894.35193
2013,11,CELEBRATION,0.0
2013,11,CLEANING,1408284.0
2013,11,DAIRY,880313.0
2013,11,DELI,337003.064948
2013,11,EGGS,230636.0
2013,11,FROZEN FOODS,173542.6359127
2013,11,GROCERY I,5027322.0
2013,11,GROCERY II,30297.0
2013,11,HARDWARE,1501.0
2013,11,HOME AND KITCHEN I,0.0
2013,11,HOME AND KITCHEN II,0.0
2013,11,HOME APPLIANCES,880.0
2013,11,HOME CARE,0.0
2013,11,LADIESWEAR,0.0
2013,11,LAWN AND GARDEN,4192.0
2013,11,LINGERIE,11567.0
2013,11,"LIQUOR,WINE,BEER",111098.0
2013,11,MAGAZINES,0.0
2013,11,MEATS,554302.615027
2013,11,PERSONAL CARE,342552.0
2013,11,PET SUPPLIES,0.0
2013,11,PLAYERS AND ELECTRONICS,0.0
2013,11,POULTRY,576809.102294
2013,11,PREPARED FOODS,141686.397899
2013,11,PRODUCE,6887.0
2013,11,SCHOOL AND OFFICE SUPPLIES,0.0
2013,11,SEAFOOD,25741.1249754
2013,12,AUTOMOTIVE,8411.0
2013,12,BABY CARE,0.0
2013,12,BEAUTY,4171.0
2013,12,BEVERAGES,2246064.0
2013,12,BOOKS,0.0
2013,12,BREAD/BAKERY,601344.768866
2013,12,CELEBRATION,0.0
2013,12,CLEANING,1724908.0
2013,12,DAIRY,1161600.0
2013,12,DELI,388401.26798
2013,12,EGGS,241805.0
2013,12,FROZEN FOODS,844150.361475
2013,12,GROCERY I,6451806.0
2013,12,GROCERY II,49683.0
2013,12,HARDWARE,1525.0
2013,12,HOME AND KITCHEN I,0.0
2013,12,HOME AND KITCHEN II,0.0
2013,12,HOME APPLIANCES,892.0
2013,12,HOME CARE,0.0
2013,12,LADIESWEAR,0.0
2013,12,LAWN AND GARDEN,5097.0
2013,12,LINGERIE,15449.0
2013,12,"LIQUOR,WINE,BEER",239186.0
2013,12,MAGAZINES,0.0
2013,12,MEATS,550748.469551
2013,12,PERSONAL CARE,407935.0
2013,12,PET SUPPLIES,0.0
2013,12,PLAYERS AND ELECTRONICS,0.0
2013,12,POULTRY,672213.165255
2013,12,PREPARED FOODS,150117.81589600001
2013,12,PRODUCE,9794.0
2013,12,SCHOOL AND OFFICE SUPPLIES,0.0
2013,12,SEAFOOD,27815.2989516
2014,1,AUTOMOTIVE,8491.0
2014,1,BABY CARE,0.0
2014,1,BEAUTY,4133.0
2014,1,BEVERAGES,4145798.0
2014,1,BOOKS,0.0
2014,1,BREAD/BAKERY,633640.13015
2014,1,CELEBRATION,19174.0
2014,1,CLEANING,1599645.0
2014,1,DAIRY,1137883.0
2014,1,DELI,361683.965712
2014,1,EGGS,252982.0
2014,1,FROZEN FOODS,185148.746023
2014,1,GROCERY I,4938275.537
2014,1,GROCERY II,29574.0
2014,1,HARDWARE,2199.0
2014,1,HOME AND KITCHEN I,36092.0
2014,1,HOME AND KITCHEN II,17155.0
2014,1,HOME APPLIANCES,835.0
2014,1,HOME CARE,435920.0
2014,1,LADIESWEAR,20131.0
2014,1,LAWN AND GARDEN,5787.0
2014,1,LINGERIE,13332.0
2014,1,"LIQUOR,WINE,BEER",111023.0
2014,1,MAGAZINES,1726.0
2014,1,MEATS,490276.380212
2014,1,PERSONAL CARE,369497.0
2014,1,PET SUPPLIES,6430.0
2014,1,PLAYERS AND ELECTRONICS,16539.0
2014,1,POULTRY,627749.216033
2014,1,PREPARED FOODS,158104.841101
2014,1,PRODUCE,3243616.58327
2014,1,SCHOOL AND OFFICE SUPPLIES,1861.0
2014,1,SEAFOOD,36938.3019024
2014,2,AUTOMOTIVE,7563.0
2014,2,BABY CARE,0.0
2014,2,BEAUTY,3578.0
2014,2,BEVERAGES,1916753.0
2014,2,BOOKS,0.0
2014,2,BREAD/BAKERY,560309.69892
2014,2,CELEBRATION,0.0
2014,2,CLEANING,1425639.0
2014,2,DAIRY,1007519.0
2014,2,DELI,329563.242532
2014,2,EGGS,230477.0
2014,2,FROZEN FOODS,164225.935953
2014,2,GROCERY I,4690177.0
2014,2,GROCERY II,25426.0
2014,2,HARDWARE,1476.0
2014,2,HOME AND KITCHEN I,0.0
2014,2,HOME AND KITCHEN II,0.0
2014,2,HOME APPLIANCES,928.0
2014,2,HOME CARE,0.0
2014,2,LADIESWEAR,0.0
2014,2,LAWN AND GARDEN,5085.0
2014,2,LINGERIE,11416.0
2014,2,"LIQUOR,WINE,BEER",110314.0
2014,2,MAGAZINES,0.0
2014,2,MEATS,472934.441401
2014,2,PERSONAL CARE,321063.0
2014,2,PET SUPPLIES,0.0
2014,2,PLAYERS AND ELECTRONICS,0.0
2014,2,POULTRY,581511.244009
2014,2,PREPARED FOODS,136125.602996
2014,2,PRODUCE,6576.0
2014,2,SCHOOL AND OFFICE SUPPLIES,0.0
2014,2,SEAFOOD,29692.4681673
2014,3,AUTOMOTIVE,10115.0
2014,3,BABY CARE,72.0
2014,3,BEAUTY,5166.0
2014,3,BEVERAGES,4430194.0
2014,3,BOOKS,0.0
2014,3,BREAD/BAKERY,651165.39597
2014,3,CELEBRATION,21478.0
2014,3,CLEANING,1770274.0
2014,3,DAIRY,1187829.0
2014,3,DELI,380693.293516
2014,3,EGGS,276353.0
2014,3,FROZEN FOODS,201682.213037
2014,3,GROCERY I,5546845.709
2014,3,GROCERY II,30956.0
2014,3,HARDWARE,2185.0
2014,3,HOME AND KITCHEN I,34705.0
2014,3,HOME AND KITCHEN II,18247.0
2014,3,HOME APPLIANCES,1040.0
2014,3,HOME CARE,433804.0
2014,3,LADIESWEAR,19608.0
2014,3,LAWN AND GARDEN,7685.0
2014,3,LINGERIE,12372.0
2014,3,"LIQUOR,WINE,BEER",139649.0
2014,3,MAGAZINES,1959.0
2014,3,MEATS,557430.866019
2014,3,PERSONAL CARE,387192.0
2014,3,PET SUPPLIES,8011.0
2014,3,PLAYERS AND ELECTRONICS,16061.0
2014,3,POULTRY,654438.654697
2014,3,PREPARED FOODS,163798.515854
2014,3,PRODUCE,3352346.250876
2014,3,SCHOOL AND OFFICE SUPPLIES,2235.0
2014,3,SEAFOOD,39993.117508
2014,4,AUTOMOTIVE,8426.0
2014,4,BABY CARE,0.0
2014,4,BEAUTY,3879.0
2014,4,BEVERAGES,2113125.0
2014,4,BOOKS,0.0
2014,4,BREAD/BAKERY,573217.412024
2014,4,CELEBRATION,0.0
2014,4,CLEANING,1452234.0
2014,4,DAIRY,1098719.0
2014,4,DELI,348646.547894
2014,4,EGGS,261829.0
2014,4,FROZEN FOODS,167466.028013
2014,4,GROCERY I,5056145.344
2014,4,GROCERY II,29452.0
2014,4,HARDWARE,1397.0
2014,4,HOME AND KITCHEN I,0.0
2014,4,HOME AND KITCHEN II,0.0
2014,4,HOME APPLIANCES,961.0
2014,4,HOME CARE,0.0
2014,4,LADIESWEAR,0.0
2014,4,LAWN AND GARDEN,6298.0
2014,4,LINGERIE,12273.0
2014,4,"LIQUOR,WINE,BEER",120097.0
2014,4,MAGAZINES,0.0
2014,4,MEATS,490231.051883
2014,4,PERSONAL CARE,365345.0
2014,4,PET SUPPLIES,0.0
2014,4,PLAYERS AND ELECTRONICS,0.0
2014,4,POULTRY,562509.106268
2014,4,PREPARED FOODS,149931.333846
2014,4,PRODUCE,7152.0
2014,4,SCHOOL AND OFFICE SUPPLIES,0.0
2014,4,SEAFOOD,31917.2332214
2014,5,AUTOMOTIVE,8075.0
2014,5,BABY CARE,0.0
2014,5,BEAUTY,3622.0
2014,5,BEVERAGES,2081778.0
2014,5,BOOKS,0.0
2014,5,BREAD/BAKERY,621684.478954
2014,5,CELEBRATION,0.0
2014,5,CLEANING,1498344.0
2014,5,DAIRY,1101502.0
2014,5,DELI,379033.81404
2014,5,EGGS,268064.0
2014,5,FROZEN FOODS,180817.965954
2014,5,GROCERY I,5316352.218
2014,5,GROCERY II,32084.0
2014,5,HARDWARE,1519.0
2014,5,HOME AND KITCHEN I,0.0
2014,5,HOME AND KITCHEN II,0.0
2014,5,HOME APPLIANCES,655.0
2014,5,HOME CARE,0.0
2014,5,LADIESWEAR,0.0
2014,5,LAWN AND GARDEN,7093.0
2014,5,LINGERIE,13393.0
2014,5,"LIQUOR,WINE,BEER",126235.0
2014,5,MAGAZINES,0.0
2014,5,MEATS,547591.432618
2014,5,PERSONAL CARE,399326.0
2014,5,PET SUPPLIES,0.0
2014,5,PLAYERS AND ELECTRONICS,0.0
2014,5,POULTRY,600606.514715
2014,5,PREPARED FOODS,147016.807927
2014,5,PRODUCE,9094.0
2014,5,SCHOOL AND OFFICE SUPPLIES,0.0
2014,5,SEAFOOD,35898.0289895
2014,6,AUTOMOTIVE,8230.0
2014,6,BABY CARE,0.0
2014,6,BEAUTY,3545.0
2014,6,BEVERAGES,2100878.0
2014,6,BOOKS,0.0
2014,6,BREAD/BAKERY,649177.492126
2014,6,CELEBRATION,0.0
2014,6,CLEANING,1482407.0
2014,6,DAIRY,1091265.0
2014,6,DELI,374419.096704
2014,6,EGGS,263067.0
2014,6,FROZEN FOODS,175937.427012
2014,6,GROCERY I,5263411.717
2014,6,GROCERY II,33102.0
2014,6,HARDWARE,1477.0
2014,6,HOME AND KITCHEN I,0.0
2014,6,HOME AND KITCHEN II,0.0
2014,6,HOME APPLIANCES,593.0
2014,6,HOME CARE,0.0
2014,6,LADIESWEAR,0.0
2014,6,LAWN AND GARDEN,5871.0
2014,6,LINGERIE,12383.0
2014,6,"LIQUOR,WINE,BEER",135899.0
2014,6,MAGAZINES,0.0
2014,6,MEATS,552050.965793
2014,6,PERSONAL CARE,388943.0
2014,6,PET SUPPLIES,0.0
2014,6,PLAYERS AND ELECTRONICS,0.0
2014,6,POULTRY,589002.147832
2014,6,PREPARED FOODS,145496.405228
2014,6,PRODUCE,8283.0
2014,6,SCHOOL AND OFFICE SUPPLIES,0.0
2014,6,SEAFOOD,34519.9213066
2014,7,AUTOMOTIVE,9481.0
2014,7,BABY CARE,163.0
2014,7,BEAUTY,4996.0
2014,7,BEVERAGES,4175817.0
2014,7,BOOKS,0.0
2014,7,BREAD/BAKERY,687980.14383
2014,7,CELEBRATION,18153.0
2014,7,CLEANING,1679291.0
2014,7,DAIRY,1088790.0
2014,7,DELI,375441.028308
2014,7,EGGS,264617.0
2014,7,FROZEN FOODS,190003.149993
2014,7,GROCERY I,5286220.824
2014,7,GROCERY II,32961.0
2014,7,HARDWARE,2042.0
2014,7,HOME AND KITCHEN I,41229.0
2014,7,HOME AND KITCHEN II,17353.0
2014,7,HOME APPLIANCES,644.0
2014,7,HOME CARE,426838.0
2014,7,LADIESWEAR,19988.0
2014,7,LAWN AND GARDEN,7230.0
2014,7,LINGERIE,12308.0
2014,7,"LIQUOR,WINE,BEER",114929.0
2014,7,MAGAZINES,1898.0
2014,7,MEATS,538998.210029
2014,7,PERSONAL CARE,401355.0
2014,7,PET SUPPLIES,7549.0
2014,7,PLAYERS AND ELECTRONICS,12768.0
2014,7,POULTRY,600019.099819
2014,7,PREPARED FOODS,151042.76095
2014,7,PRODUCE,3216023.256304
2014,7,SCHOOL AND OFFICE SUPPLIES,1958.0
2014,7,SEAFOOD,33804.5705894
2014,8,AUTOMOTIVE,9309.0
2014,8,BABY CARE,0.0
2014,8,BEAUTY,4975.0
2014,8,BEVERAGES,2109229.0
2014,8,BOOKS,0.0
2014,8,BREAD/BAKERY,767589.38916
